filename,slip_number,date,company,is_return,items_count,quantity_sum,subtotal,notes
0212インス・佐藤1枚（返品）.pdf,S260212-1,2026/02/12,(株)インス,TRUE,2,-2,-12880,源行2は品番/品名空欄継承
0213インス・佐藤1枚（2026）.pdf,S251203-2,2025/12/04,(株)インス,FALSE,4,4,11920,源行2-4は品番/品名空欄継承
0217インス・佐藤21枚_Part2@.pdf,S260206-2,2026/02/17,(株)インス,FALSE,26,247,1004600,
0217インス・佐藤21枚_Part4@.pdf,S260206-4,2026/02/17,(株)インス,FALSE,26,355,1258150,中国分の境界がOCRで誤分類されやすい
0217インス・佐藤21枚_Part6@.pdf,S260206-6,2026/02/17,(株)インス,FALSE,28,281,1573600,
0210キュー_岡部.pdf,0027,2026/02/10,(株)キュー アパレル事業部,FALSE,3,15,554000,アドバン発行 26AWヘビーネルチェック見本納品書 7カラー/4カラー表記あり
0202高荘_岡部.pdf,0005-OK,2026/02/02,(株)高荘,FALSE,9,66,474540,26SSシャツ納品 BR-26165 納前/量産混在
0205高荘・佐藤1枚.pdf,S260119-2,2026/02/05,(株)高荘,FALSE,19,502,3672220,COVERALL JK + PEINTER PANTS + ZIP-WORK JK の量産納品
0209JUN納前_原田.pdf,409101-1,2026/02/09,(株)ジュン アダム・エ・ロペ Femme,FALSE,2,2,15200,JUN発行の納品依頼書（縫製検品） 単価7600
0227JUN_原田.pdf,409911-1,2026/02/27,(株)ジュン アダム・エ・ロペ Femme,FALSE,4,202,1535200,JUN発行の納品依頼書 量産202枚 下館DS
0209SIM・佐藤1枚.pdf,,2026/02/09,(株)SIM,TRUE,2,-2,-11080,SIM発行の返品書 修理不可で返品 摘要に品番品名連結 税抜小計
0213SIM・佐藤1枚.pdf,S260206-22,2026/02/13,(株)SIM,FALSE,8,724,4706000,アドバン発行 OUTSIDE INSIDE PT BLACK/OLIVE BEAMS倉庫納品
0226SIM佐藤1枚.pdf,S260226-1,2026/02/26,(株)SIM,TRUE,1,-1,-5800,B品返品 NULL-111EX OUTSIDE S-PT BLACK M
0202ミスターハリウッド_岡部.pdf,0039,2026/02/02,(株)ミスターハリウッド,FALSE,2,2,20000,26FW展示会サンプル シャンブレーシャツ＋パンツ
0213ミスターハリウッド・佐藤1枚.pdf,S260209-1,2026/02/13,(株)ミスターハリウッド,FALSE,8,306,2249100,VINTAGE PEINTER DENIM PT 国内分/海外分の区分あり 単価7350
0213ミスターハリウッド_岡部.pdf,0040,2026/02/13,(株)ミスターハリウッド,FALSE,12,661,5313200,26BIGMACシャツ ダンガリーシャツSS+チェックシャツLS
0206アンフィル・佐藤2枚_Part1.pdf,S260202-3,2026/02/05,(株)アンフィル,FALSE,18,304,2584000,Stand Collar Jacket WS+BS+WS納品前の3区分 単価8500
0206アンフィル・佐藤2枚_Part2.pdf,S260202-4,2026/02/05,(株)アンフィル,FALSE,12,97,659600,Vintage Washed Over Easy PT WS+WS納品前 単価6800
0216アンフィル・佐藤1枚.pdf,S260216-1,2026/02/16,(株)アンフィル,FALSE,1,1,15000,展示会サンプル 1枚のみ
0216アンフィル・佐藤2枚_Part1.pdf,S260206-23,2026/02/16,(株)アンフィル,FALSE,18,297,1906740,Vintage Washed Double Knee Pants WS+BS+WS納品前 単価6420
0216アンフィル・佐藤2枚_Part2.pdf,S260206-24,2026/02/16,(株)アンフィル,FALSE,12,62,545600,Cotton Twill Denim Jacket WS+WS納品前 単価8800
0218アダストリア岡部@8600.pdf,8300017007491,2026/02/13,(株)アダストリア 神戸DC,FALSE,6,107,920200,アダストリア納品伝票 N/Classic-Shirts ファイル名@8600=下代単価 本体価格18000は売価
0218アダストリア岡部@6100.pdf,8300017007514,2026/02/13,(株)アダストリア 神戸DC,FALSE,4,97,591700,アダストリア納品伝票 W/Lapel-Shirts ファイル名@6100=下代単価 本体価格18000は売価
0220アダストリア返品_岡部原田.pdf,6304392005090,2026/02/20,(株)アダストリア,TRUE,8,-9,-24700,返品伝票 JEANASIS 原単価2700-3100 ハイブリッドな単価行
0220アダストリア岡部@7150.pdf,8300017051296,2026/02/18,(株)アダストリア 神戸DC,FALSE,2,35,250250,アダストリア納品伝票 CLASSICAL OP マークMY100464AA ファイル名@7150=下代単価
0220アダストリア岡部2@7150.pdf,8300017051302,2026/02/18,(株)アダストリア 神戸DC,FALSE,2,35,250250,アダストリア納品伝票 CLASSICAL OP マークMY100464AA 同マーク2回目
0227アダストリアHARE_岡部.pdf,0017,2026/02/27,アダストリア(株) HARE事業部,FALSE,6,7,189300,merrunyサンプル代 サンプル品5種+MY100464AA納前2枚 合計208230(税込)
0205バロックmoussy_星野_Part1.pdf,5000052602040001,2026/02/05,(株)バロックジャパンリミテッド,FALSE,2,2,4080,BJL納品書 SKINNY HANDLE TOTE BAG S 納前 手書き単価2040円
0205バロックmoussy_星野_Part2.pdf,5000052602040002,2026/02/05,(株)バロックジャパンリミテッド,FALSE,3,3,6585,BJL納品書 SKINNY HANDLE TOTE BAG 納前 手書き単価2195円
0205バロックmoussy_星野_Part3.pdf,5000052602040003,2026/02/05,(株)バロックジャパンリミテッド,FALSE,2,2,4600,BJL納品書 KEY CHAIN COMBI BAG 納前 手書き単価2300円
0205バロックsly_一和多.pdf,5000052602040004,2026/02/05,(株)バロックジャパンリミテッド,FALSE,2,2,4900,BJL納品書 STYLE MIXER 2WAYスクエアバッグ 納前 手書き単価2450円
0210バロックsly_一和多.pdf,5000052602090001,2026/02/10,(株)バロックジャパンリミテッド,FALSE,3,3,7500,BJL納品書 SLY QUILTING F/LEATHER CHAIN BAG 納前 手書き@2500円
0210バロックmoussy_星野_Part1.pdf,5000052602090005,2026/02/10,(株)バロックジャパンリミテッド,FALSE,3,3,2286,BJL納品書 moussy MOUSSY SOUVENIR CANVAS BAG 納前 手書き762円
0210バロックmoussy_星野_Part2.pdf,5000052602090004,2026/02/10,(株)バロックジャパンリミテッド,FALSE,1,1,870,BJL納品書 moussy MOUSSY SOUVENIR F/LEATHER BAG 納前 手書き870円
0210バロックmoussyazul_星野_Part1.pdf,5000052602090002,2026/02/12,(株)バロックジャパンリミテッド,FALSE,2,1498,2516640,BJL納品書 AZUL ハーフムーンショルダーバッグ 量産 東松山倉庫 手書き1680円
0210バロックmoussyazul_星野_Part2.pdf,5000052602090003,2026/02/10,(株)バロックジャパンリミテッド,FALSE,9,782,2424200,BJL納品書 INSILENCE SLOUCHY TOTE BAG 量産 海外卸FC+moussy+Sheltter 北柏倉庫 手書き3100円
0224バロック返品_一和多.pdf,94715320,2026/02/24,BAROQUE JAPAN LIMITED,TRUE,1,-1,-2650,仕入返品伝票 NIOHIXSLY STUDS BAG 1月店舗戻りリスト
0224バロック返品_星野.pdf,94715321,2026/02/24,BAROQUE JAPAN LIMITED,TRUE,6,-7,-11840,仕入返品伝票 6種バッグ 1月店舗戻りリスト
0225バロックstyle_一和多.pdf,5000052602240006,2026/02/25,(株)バロックジャパンリミテッド,FALSE,2,221,541450,BJL納品書 STYLE MIXER 2WAYスクエアバッグ 量産 北柏倉庫 手書き@2450円
0225バロックsly_一和多.pdf,5000052602240005,2026/02/25,(株)バロックジャパンリミテッド,FALSE,3,305,762500,BJL納品書 SLY QUILTING F/LEATHER CHAIN BAG 量産 北柏倉庫 手書き@2500円
0225バロックsly_一和多2.pdf,5000052602240004,2026/02/25,(株)バロックジャパンリミテッド,FALSE,6,346,986100,BJL納品書 SLY+Sheltter F/LEATHER STUDS BAG 量産 北柏倉庫 手書き@2850円
0225バロックmoussy_星野_Part1.pdf,5000052602240001,2026/02/25,(株)バロックジャパンリミテッド,FALSE,2,674,1374960,BJL納品書 moussy SKINNY HANDLE TOTE BAG S 量産 北柏倉庫 手書き2040円
0225バロックmoussy_星野_Part2.pdf,5000052602240002,2026/02/25,(株)バロックジャパンリミテッド,FALSE,3,648,1422360,BJL納品書 moussy SKINNY HANDLE TOTE BAG 量産 北柏倉庫 手書き2195円
0225バロックmoussy_星野_Part3.pdf,5000052602240003,2026/02/25,(株)バロックジャパンリミテッド,FALSE,2,628,1444400,BJL納品書 moussy KEY CHAIN COMBI BAG 量産 北柏倉庫 手書き2300円
0201インス・佐藤1枚.pdf,S260107-1,2026/01/08,(株)インス,FALSE,20,20,83500,納品前 4商品20色サイズ MOTION ONEPICE+POKET CREW+ELASTIC NYLON SHORTS+MOTION SKIRT 2月請求
0201INS・佐藤1枚.pdf,S260115-1,2026/01/16,(株)インス,FALSE,20,20,127960,納品前 5商品20色サイズ SUPPLEX BRISK SHORTS/SUMMER TCH TWILL PT/THINGS PT/TWILL SPT/SUPPLEX BRISK SHIRT 2月請求
0201INS・佐藤1枚(1).pdf,S251223-2,2026/02/01,(株)インス,FALSE,8,8,86000,納品前 SPACE CK STAND-UP JK+OVER-PT 2月請求 源PDFで納品日2025年2月1日と誤記
0201インス・佐藤1枚（2026）.pdf,S251208-5,2026/02/01,(株)インス,FALSE,4,4,10800,納品前 LUX-SPT 4色サイズ 2月請求
0201インス・佐藤2枚_Part1.pdf,S251218-1,2025/12/19,(株)インス,FALSE,26,26,123400,納品前 4商品26色サイズ ELASTIC NYLON LAX PT+DENALI SH+PRINT LAX SPT/PT 2月請求 / LAX PT 7枚が正(月次請求書手打ち8枚は入力ミス)
0201インス・佐藤2枚_Part2.pdf,S251218-2,2025/12/19,(株)インス,FALSE,5,5,17250,納品前 OPEN COLLAR POKET SH 5色サイズ 2月請求
0201インス・佐藤2枚(1)_Part1.pdf,S260128-1,2026/01/29,(株)インス,FALSE,24,24,132200,納品前 5商品24色サイズ D/D NYLON CARGO PANTS/CARGOS-PANTS/OVER PT/EASY S/PT/BRISK SHIRT 2月請求
0201インス・佐藤2枚(1)_Part2.pdf,S260128-2,2026/01/29,(株)インス,FALSE,8,8,43200,納品前 D/D NYLON BROSK SHORTS+CAGO SHORTS 8色サイズ 2月請求 / WT26323AD-BS単価5000円が正(月次請求書手打ち5100円は入力ミス)
0204インス_岡部.pdf,OK020260204,2026/02/04,(株)インス,FALSE,5,263,1478060,BIGMAC 26SS量産 OPEN COLLAR L/S SHIRTS 5色 サクライ物流 サイズ別集計形式
0205インス・佐藤2枚_Part1.pdf,S260202-1,2026/02/05,(株)インス,FALSE,30,394,2983820,7商品 LIGHT DENIM/CHINO WORK JK + DENIM COVERALL + DENIM ENGINEER JACKET 量産
0205インス・佐藤2枚_Part2.pdf,S260202-2,2026/02/05,(株)インス,FALSE,14,289,2182980,DENIM PEINTER PANTS+JUNPER SK 量産 SARO別注分含む
0217インス・佐藤21枚_Part1.pdf,S260206-1,2026/02/17,(株)インス,FALSE,24,156,772200,ELASTIC NYLON SHORTS 6色×4サイズ 単価4950
0217インス・佐藤21枚_Part3.pdf,S260206-3,2026/02/17,(株)インス,FALSE,28,612,2136000,MOTION PANTS+D/D NYLON BROSK SHORTS 単価2950/5800
0217インス・佐藤21枚_Part5.pdf,S260206-5,2026/02/17,(株)インス,FALSE,24,250,1262500,ELASTIC NYLON PRINT LAX SPT 6色×4サイズ 単価5050
0217インス・佐藤21枚_Part7.pdf,S260206-7,2026/02/17,(株)インス,FALSE,28,936,3837600,ELASTIC NYLON DENALI SH 7色×4サイズ 単価4100 大型伝票
0217インス・佐藤21枚_Part8.pdf,S260206-8,2026/02/17,(株)インス,FALSE,27,252,1265740,SUPPLEX BRISK SHIRT(中国分含む) + ELASTIC NYLON LAX PT別注①② 単価5730/4400
0217インス・佐藤21枚_Part9.pdf,S260206-9,2026/02/17,(株)インス,FALSE,30,798,3511200,ELASTIC NYLON LAX PT 6色×5サイズ(XS含む) 単価4400 大型伝票
0217インス・佐藤21枚_Part10.pdf,S260206-10,2026/02/17,(株)インス,FALSE,25,974,3085800,OPEN COLLAR POKET SH (BLK/GRY/OLV+GRY-F) + LUX-SPT 単価3450/2700
0217インス・佐藤21枚_Part11.pdf,S260206-11,2026/02/17,(株)インス,FALSE,28,180,1576800,SUMMER TCH TWILL SPT + SPACE CK STAND-UP JK 単価6200/11000
