filename,line_num,product_code,product_name,color,size,quantity,unit_price,amount
0212インス・佐藤1枚（返品）.pdf,1,BIG-246-BOY,PEINTER-SK,78/Indigo,S,-1,6440,-6440
0212インス・佐藤1枚（返品）.pdf,2,,,94/Hickory,S,-1,6440,-6440
0213インス・佐藤1枚（2026）.pdf,1,WT26043AD/467,MOTION PANTS,GRAY,S,1,2980,2980
0213インス・佐藤1枚（2026）.pdf,2,,,GRAY,M,1,2980,2980
0213インス・佐藤1枚（2026）.pdf,3,,,OLIVE,L,1,2980,2980
0213インス・佐藤1枚（2026）.pdf,4,,,BLACK,XL,1,2980,2980
0217インス・佐藤21枚_Part2@.pdf,1,WTL26002AD/478,MOTION SKIRT,BLACK,S,12,4000,48000
0217インス・佐藤21枚_Part2@.pdf,2,,,,M,25,4000,100000
0217インス・佐藤21枚_Part2@.pdf,3,,,GREEN,S,6,4000,24000
0217インス・佐藤21枚_Part2@.pdf,4,,,,M,8,4000,32000
0217インス・佐藤21枚_Part2@.pdf,5,,,GREY,S,6,4000,24000
0217インス・佐藤21枚_Part2@.pdf,6,,,,M,12,4000,48000
0217インス・佐藤21枚_Part2@.pdf,7,,,BLUE,S,6,4000,24000
0217インス・佐藤21枚_Part2@.pdf,8,,,,M,13,4000,52000
0217インス・佐藤21枚_Part2@.pdf,9,,,BEIGE,S,8,4000,32000
0217インス・佐藤21枚_Part2@.pdf,10,,,,M,9,4000,36000
0217インス・佐藤21枚_Part2@.pdf,11,,,,F,48,4000,192000
0217インス・佐藤21枚_Part2@.pdf,12,WTL26002AD/478,MOTION SKIRT,BLACK,M,4,4000,16000
0217インス・佐藤21枚_Part2@.pdf,13,,(中国分),BLUE,M,4,4000,16000
0217インス・佐藤21枚_Part2@.pdf,14,,,GREY,M,3,4000,12000
0217インス・佐藤21枚_Part2@.pdf,15,WT26042AD/466,MOTION POKET CREW,BLACK,S,4,4200,16800
0217インス・佐藤21枚_Part2@.pdf,16,,,,M,14,4200,58800
0217インス・佐藤21枚_Part2@.pdf,17,,,,L,13,4200,54600
0217インス・佐藤21枚_Part2@.pdf,18,,,,XL,3,4200,12600
0217インス・佐藤21枚_Part2@.pdf,19,,,GREY,S,3,4200,12600
0217インス・佐藤21枚_Part2@.pdf,20,,,,M,10,4200,42000
0217インス・佐藤21枚_Part2@.pdf,21,,,,L,9,4200,37800
0217インス・佐藤21枚_Part2@.pdf,22,,,,XL,4,4200,16800
0217インス・佐藤21枚_Part2@.pdf,23,,,OLIVE,S,4,4200,16800
0217インス・佐藤21枚_Part2@.pdf,24,,,,M,7,4200,29400
0217インス・佐藤21枚_Part2@.pdf,25,,,,L,8,4200,33600
0217インス・佐藤21枚_Part2@.pdf,26,,,,XL,4,4200,16800
0217インス・佐藤21枚_Part4@.pdf,1,WT26039AD/490,ELASTIC NYLON PRINT LAX SPT,SPIDER-BLK,S,1,5050,5050
0217インス・佐藤21枚_Part4@.pdf,2,,(中国分),,M,3,5050,15150
0217インス・佐藤21枚_Part4@.pdf,3,,,,L,2,5050,10100
0217インス・佐藤21枚_Part4@.pdf,4,,,,XL,1,5050,5050
0217インス・佐藤21枚_Part4@.pdf,5,,,SPIDER-BEG,M,2,5050,10100
0217インス・佐藤21枚_Part4@.pdf,6,,,,L,2,5050,10100
0217インス・佐藤21枚_Part4@.pdf,7,,,,XL,1,5050,5050
0217インス・佐藤21枚_Part4@.pdf,8,,,SPIDER-GRN,M,2,5050,10100
0217インス・佐藤21枚_Part4@.pdf,9,,,,L,2,5050,10100
0217インス・佐藤21枚_Part4@.pdf,10,,,CLIMER-BLK,M,2,5050,10100
0217インス・佐藤21枚_Part4@.pdf,11,,,,L,2,5050,10100
0217インス・佐藤21枚_Part4@.pdf,12,,,CLIMER-OFF,M,3,5050,15150
0217インス・佐藤21枚_Part4@.pdf,13,,,,L,3,5050,15150
0217インス・佐藤21枚_Part4@.pdf,14,,,,XL,1,5050,5050
0217インス・佐藤21枚_Part4@.pdf,15,,,CLIMER-GRN,M,2,5050,10100
0217インス・佐藤21枚_Part4@.pdf,16,,,,L,2,5050,10100
0217インス・佐藤21枚_Part4@.pdf,17,WTL26003AD/479,MOTION ONEPICE,BLACK,S,17,3400,57800
0217インス・佐藤21枚_Part4@.pdf,18,,,,M,128,3400,435200
0217インス・佐藤21枚_Part4@.pdf,19,,,GREEN,S,7,3400,23800
0217インス・佐藤21枚_Part4@.pdf,20,,,,M,8,3400,27200
0217インス・佐藤21枚_Part4@.pdf,21,,,BLUE,S,8,3400,27200
0217インス・佐藤21枚_Part4@.pdf,22,,,,M,57,3400,193800
0217インス・佐藤21枚_Part4@.pdf,23,,,BEIGE,S,9,3400,30600
0217インス・佐藤21枚_Part4@.pdf,24,,,,M,69,3400,234600
0217インス・佐藤21枚_Part4@.pdf,25,,,GREY,S,8,3400,27200
0217インス・佐藤21枚_Part4@.pdf,26,,,,M,13,3400,44200
0217インス・佐藤21枚_Part6@.pdf,1,WT26038AD/489,ELASTIC NYLON PRINT LAX PT,SPIDER-BEG,S,4,5600,22400
0217インス・佐藤21枚_Part6@.pdf,2,,,,M,16,5600,89600
0217インス・佐藤21枚_Part6@.pdf,3,,,,L,6,5600,33600
0217インス・佐藤21枚_Part6@.pdf,4,,,,XL,2,5600,11200
0217インス・佐藤21枚_Part6@.pdf,5,,,SPIDER-BLK,XS,4,5600,22400
0217インス・佐藤21枚_Part6@.pdf,6,,,,S,14,5600,78400
0217インス・佐藤21枚_Part6@.pdf,7,,,,M,21,5600,117600
0217インス・佐藤21枚_Part6@.pdf,8,,,,L,18,5600,100800
0217インス・佐藤21枚_Part6@.pdf,9,,,,XL,11,5600,61600
0217インス・佐藤21枚_Part6@.pdf,10,,,SPIDER-GRN,S,3,5600,16800
0217インス・佐藤21枚_Part6@.pdf,11,,,,M,9,5600,50400
0217インス・佐藤21枚_Part6@.pdf,12,,,,L,9,5600,50400
0217インス・佐藤21枚_Part6@.pdf,13,,,,XL,7,5600,39200
0217インス・佐藤21枚_Part6@.pdf,14,,,CLIMER-OFF,XS,7,5600,39200
0217インス・佐藤21枚_Part6@.pdf,15,,,,S,7,5600,39200
0217インス・佐藤21枚_Part6@.pdf,16,,,,M,14,5600,78400
0217インス・佐藤21枚_Part6@.pdf,17,,,,L,14,5600,78400
0217インス・佐藤21枚_Part6@.pdf,18,,,,XL,9,5600,50400
0217インス・佐藤21枚_Part6@.pdf,19,,,CLIMER-BLK,XS,9,5600,50400
0217インス・佐藤21枚_Part6@.pdf,20,,,,S,14,5600,78400
0217インス・佐藤21枚_Part6@.pdf,21,,,,M,19,5600,106400
0217インス・佐藤21枚_Part6@.pdf,22,,,,L,17,5600,95200
0217インス・佐藤21枚_Part6@.pdf,23,,,,XL,10,5600,56000
0217インス・佐藤21枚_Part6@.pdf,24,,,CLIMER-GRN,XS,5,5600,28000
0217インス・佐藤21枚_Part6@.pdf,25,,,,S,5,5600,28000
0217インス・佐藤21枚_Part6@.pdf,26,,,,M,16,5600,89600
0217インス・佐藤21枚_Part6@.pdf,27,,,,L,7,5600,39200
0217インス・佐藤21枚_Part6@.pdf,28,,,,XL,4,5600,22400
0210キュー_岡部.pdf,1,BIGMACXFATオンプレ,見本反,7カラー,,7,70000,490000
0210キュー_岡部.pdf,2,F32620-SH07,オンプレチェックシャツ,4カラー,FAT,4,8000,32000
0210キュー_岡部.pdf,3,F32620-SH08,オンプレチェック短丈,4カラー,FAT,4,8000,32000
0202高荘_岡部.pdf,1,BR-26165 納前,,ベージュ,M,1,7190,7190
0202高荘_岡部.pdf,2,BR-26165 納前,,グレー,L,1,7190,7190
0202高荘_岡部.pdf,3,BR-26165 納前,,ベージュ,XL,1,7190,7190
0202高荘_岡部.pdf,4,BR-26165 量産,,ベージュ,M,12,7190,86280
0202高荘_岡部.pdf,5,BR-26165 量産,,ベージュ,L,14,7190,100660
0202高荘_岡部.pdf,6,BR-26165 量産,,ベージュ,XL,11,7190,79090
0202高荘_岡部.pdf,7,BR-26165 量産,,グレー,M,8,7190,57520
0202高荘_岡部.pdf,8,BR-26165 量産,,グレー,L,10,7190,71900
0202高荘_岡部.pdf,9,BR-26165 量産,,グレー,XL,8,7190,57520
0205高荘・佐藤1枚.pdf,1,BIG-240-BNS,COVERALL JK,HICKORY,M,43,7420,319060
0205高荘・佐藤1枚.pdf,2,,,,L,41,7420,304220
0205高荘・佐藤1枚.pdf,3,,,INDIGO,M,32,7420,237440
0205高荘・佐藤1枚.pdf,4,,,,L,31,7420,230020
0205高荘・佐藤1枚.pdf,5,,,L.INDIGO,M,32,7420,237440
0205高荘・佐藤1枚.pdf,6,,,,L,32,7420,237440
0205高荘・佐藤1枚.pdf,7,BIG-241-BNS,PEINTER PANTS,HICKORY,M,35,6600,231000
0205高荘・佐藤1枚.pdf,8,,,,L,37,6600,244200
0205高荘・佐藤1枚.pdf,9,,,,XL,21,6600,138600
0205高荘・佐藤1枚.pdf,10,,,INDIGO,M,12,6600,79200
0205高荘・佐藤1枚.pdf,11,,,,L,16,6600,105600
0205高荘・佐藤1枚.pdf,12,,,,XL,9,6600,59400
0205高荘・佐藤1枚.pdf,13,,,L.INDIGO,M,22,6600,145200
0205高荘・佐藤1枚.pdf,14,,,,L,24,6600,158400
0205高荘・佐藤1枚.pdf,15,,,,XL,15,6600,99000
0205高荘・佐藤1枚.pdf,16,BIG-243-BNS,ZIP-WORK JK,L.INDIGO,M,29,8460,245340
0205高荘・佐藤1枚.pdf,17,,,,L,34,8460,287640
0205高荘・佐藤1枚.pdf,18,,,INDIGO,M,18,8460,152280
0205高荘・佐藤1枚.pdf,19,,,,L,19,8460,160740
0209JUN納前_原田.pdf,1,GAE-06020,ディープスリットデニムワンピース,01 クロメイン,36,1,7600,7600
0209JUN納前_原田.pdf,2,,,44 ブルーメイ,38,1,7600,7600
0227JUN_原田.pdf,1,GAE-06020,ディープスリットデニムワンピース,01 クロメイン,36,60,7600,456000
0227JUN_原田.pdf,2,,,01 クロメイン,38,41,7600,311600
0227JUN_原田.pdf,3,,,44 ブルーメイ,36,61,7600,463600
0227JUN_原田.pdf,4,,,44 ブルーメイ,38,40,7600,304000
0209SIM・佐藤1枚.pdf,1,Null-093JS,BAGGY THREE QUARTER(8部丈),,,-1,5430,-5430
0209SIM・佐藤1枚.pdf,2,Null-109JS,BAGGY CANVAS,,,-1,5650,-5650
0213SIM・佐藤1枚.pdf,1,NULL-124BM,OUTSIDE INSIDE PT,BLACK,S,83,6500,539500
0213SIM・佐藤1枚.pdf,2,,,,M,145,6500,942500
0213SIM・佐藤1枚.pdf,3,,,,L,96,6500,624000
0213SIM・佐藤1枚.pdf,4,,,,XL,36,6500,234000
0213SIM・佐藤1枚.pdf,5,,,OLIVE,S,83,6500,539500
0213SIM・佐藤1枚.pdf,6,,,,M,146,6500,949000
0213SIM・佐藤1枚.pdf,7,,,,L,99,6500,643500
0213SIM・佐藤1枚.pdf,8,,,,XL,36,6500,234000
0226SIM佐藤1枚.pdf,1,NULL-111EX,OUTSIDE S-PT,BLACK,M,-1,5800,-5800
0202ミスターハリウッド_岡部.pdf,1,2262-SH60-6,シャンブレーシャツ,杢グレー,,1,10000,10000
0202ミスターハリウッド_岡部.pdf,2,2262-PT60-6,シャンブレーパンツ,杢グレー,,1,10000,10000
0213ミスターハリウッド・佐藤1枚.pdf,1,BIG-231-NH/2261-CP60-PEG,VINTAGE PEINTER DENIM PT (国内分),USED,36,75,7350,551250
0213ミスターハリウッド・佐藤1枚.pdf,2,,,,38,106,7350,779100
0213ミスターハリウッド・佐藤1枚.pdf,3,,,,40,74,7350,543900
0213ミスターハリウッド・佐藤1枚.pdf,4,,,,42,24,7350,176400
0213ミスターハリウッド・佐藤1枚.pdf,5,BIG-231-NH/2261-CP60-PEG,VINTAGE PEINTER DENIM PT (海外分),USED,36,7,7350,51450
0213ミスターハリウッド・佐藤1枚.pdf,6,,,,38,10,7350,73500
0213ミスターハリウッド・佐藤1枚.pdf,7,,,,40,8,7350,58800
0213ミスターハリウッド・佐藤1枚.pdf,8,,,,42,2,7350,14700
0213ミスターハリウッド_岡部.pdf,1,2261-SH60-027,26SSダンガリーシャツSS,BLUE,S,71,7700,546700
0213ミスターハリウッド_岡部.pdf,2,2261-SH60-027,26SSダンガリーシャツSS,BLUE,M,91,7700,700700
0213ミスターハリウッド_岡部.pdf,3,2261-SH60-027,26SSダンガリーシャツSS,BLUE,L,48,7700,369600
0213ミスターハリウッド_岡部.pdf,4,2261-SH60-027,26SSダンガリーシャツSS,BLUE,XL,4,7700,30800
0213ミスターハリウッド_岡部.pdf,5,2261-SH61-014,26SSチェックシャツLS,GRN CHECK,S,55,8200,451000
0213ミスターハリウッド_岡部.pdf,6,2261-SH61-014,26SSチェックシャツLS,GRN CHECK,M,81,8200,664200
0213ミスターハリウッド_岡部.pdf,7,2261-SH61-014,26SSチェックシャツLS,GRN CHECK,L,28,8200,229600
0213ミスターハリウッド_岡部.pdf,8,2261-SH61-014,26SSチェックシャツLS,GRN CHECK,XL,5,8200,41000
0213ミスターハリウッド_岡部.pdf,9,2261-SH61-014,26SSチェックシャツLS,BK CHECK,S,94,8200,770800
0213ミスターハリウッド_岡部.pdf,10,2261-SH61-014,26SSチェックシャツLS,BK CHECK,M,131,8200,1074200
0213ミスターハリウッド_岡部.pdf,11,2261-SH61-014,26SSチェックシャツLS,BK CHECK,L,44,8200,360800
0213ミスターハリウッド_岡部.pdf,12,2261-SH61-014,26SSチェックシャツLS,BK CHECK,XL,9,8200,73800
0206アンフィル・佐藤2枚_Part1.pdf,1,SD26S-JK05,Stand Collar Jacket (*WS納品),20Green,M,18,8500,153000
0206アンフィル・佐藤2枚_Part1.pdf,2,,,20Green,L,23,8500,195500
0206アンフィル・佐藤2枚_Part1.pdf,3,,,20Green,XL,11,8500,93500
0206アンフィル・佐藤2枚_Part1.pdf,4,,,24Brown,M,9,8500,76500
0206アンフィル・佐藤2枚_Part1.pdf,5,,,24Brown,L,19,8500,161500
0206アンフィル・佐藤2枚_Part1.pdf,6,,,24Brown,XL,9,8500,76500
0206アンフィル・佐藤2枚_Part1.pdf,7,,,80Black,M,21,8500,178500
0206アンフィル・佐藤2枚_Part1.pdf,8,,,80Black,L,29,8500,246500
0206アンフィル・佐藤2枚_Part1.pdf,9,,,80Black,XL,22,8500,187000
0206アンフィル・佐藤2枚_Part1.pdf,10,SD26S-JK05,Stand Collar Jacket (*BS納品),24Brown,M,30,8500,255000
0206アンフィル・佐藤2枚_Part1.pdf,11,,,24Brown,L,30,8500,255000
0206アンフィル・佐藤2枚_Part1.pdf,12,,,24Brown,XL,10,8500,85000
0206アンフィル・佐藤2枚_Part1.pdf,13,,,80Black,M,30,8500,255000
0206アンフィル・佐藤2枚_Part1.pdf,14,,,80Black,L,30,8500,255000
0206アンフィル・佐藤2枚_Part1.pdf,15,,,80Black,XL,10,8500,85000
0206アンフィル・佐藤2枚_Part1.pdf,16,SD26S-JK05,Stand Collar Jacket (*WS納品/納品前),20Green,L,1,8500,8500
0206アンフィル・佐藤2枚_Part1.pdf,17,,,24Brown,M,1,8500,8500
0206アンフィル・佐藤2枚_Part1.pdf,18,,,80Black,XL,1,8500,8500
0206アンフィル・佐藤2枚_Part2.pdf,1,SD26S-PT03,Vintage Washed Over Easy PT (WS納品),20Green,M,9,6800,61200
0206アンフィル・佐藤2枚_Part2.pdf,2,,,20Green,L,9,6800,61200
0206アンフィル・佐藤2枚_Part2.pdf,3,,,20Green,XL,5,6800,34000
0206アンフィル・佐藤2枚_Part2.pdf,4,,,24Brown,M,12,6800,81600
0206アンフィル・佐藤2枚_Part2.pdf,5,,,24Brown,L,14,6800,95200
0206アンフィル・佐藤2枚_Part2.pdf,6,,,24Brown,XL,12,6800,81600
0206アンフィル・佐藤2枚_Part2.pdf,7,,,80Black,M,13,6800,88400
0206アンフィル・佐藤2枚_Part2.pdf,8,,,80Black,L,14,6800,95200
0206アンフィル・佐藤2枚_Part2.pdf,9,,,80Black,XL,6,6800,40800
0206アンフィル・佐藤2枚_Part2.pdf,10,SD26S-PT03,Vintage Washed Over Easy PT (WS納品/納品前),20Green,L,1,6800,6800
0206アンフィル・佐藤2枚_Part2.pdf,11,,,24Brown,M,1,6800,6800
0206アンフィル・佐藤2枚_Part2.pdf,12,,,80Black,XL,1,6800,6800
0216アンフィル・佐藤1枚.pdf,1,SDADV-1809,Classic Fit Jeans,,,1,15000,15000
0216アンフィル・佐藤2枚_Part1.pdf,1,SD26S-PT04（WS）,Vintage Washed Double Knee Pants,12GREY,M,15,6420,96300
0216アンフィル・佐藤2枚_Part1.pdf,2,,,12GREY,L,21,6420,134820
0216アンフィル・佐藤2枚_Part1.pdf,3,,,12GREY,XL,14,6420,89880
0216アンフィル・佐藤2枚_Part1.pdf,4,,,21KAHAKI,M,17,6420,109140
0216アンフィル・佐藤2枚_Part1.pdf,5,,,21KAHAKI,L,24,6420,154080
0216アンフィル・佐藤2枚_Part1.pdf,6,,,21KAHAKI,XL,17,6420,109140
0216アンフィル・佐藤2枚_Part1.pdf,7,,,80BLACK,M,14,6420,89880
0216アンフィル・佐藤2枚_Part1.pdf,8,,,80BLACK,L,19,6420,121980
0216アンフィル・佐藤2枚_Part1.pdf,9,,,80BLACK,XL,13,6420,83460
0216アンフィル・佐藤2枚_Part1.pdf,10,SD26S-PT04（BS）,Vintage Washed Double Knee Pants,21KAHAKI,M,30,6420,192600
0216アンフィル・佐藤2枚_Part1.pdf,11,,,21KAHAKI,L,30,6420,192600
0216アンフィル・佐藤2枚_Part1.pdf,12,,,21KAHAKI,XL,10,6420,64200
0216アンフィル・佐藤2枚_Part1.pdf,13,,,80BLACK,M,30,6420,192600
0216アンフィル・佐藤2枚_Part1.pdf,14,,,80BLACK,L,30,6420,192600
0216アンフィル・佐藤2枚_Part1.pdf,15,,,80BLACK,XL,10,6420,64200
0216アンフィル・佐藤2枚_Part1.pdf,16,SD26S-PT04（WS）納品前,Vintage Washed Double Knee Pants,12GREY,XL,1,6420,6420
0216アンフィル・佐藤2枚_Part1.pdf,17,,,21KAHAKI,L,1,6420,6420
0216アンフィル・佐藤2枚_Part1.pdf,18,,,80BLACK,M,1,6420,6420
0216アンフィル・佐藤2枚_Part2.pdf,1,SD26S-JK06（WS）,Cotton Twill Denim Jacket,21KHAKI,M,3,8800,26400
0216アンフィル・佐藤2枚_Part2.pdf,2,,,21KHAKI,L,2,8800,17600
0216アンフィル・佐藤2枚_Part2.pdf,3,,,21KHAKI,XL,2,8800,17600
0216アンフィル・佐藤2枚_Part2.pdf,4,,,70PINK,M,4,8800,35200
0216アンフィル・佐藤2枚_Part2.pdf,5,,,70PINK,L,5,8800,44000
0216アンフィル・佐藤2枚_Part2.pdf,6,,,70PINK,XL,2,8800,17600
0216アンフィル・佐藤2枚_Part2.pdf,7,,,80BLACK,M,15,8800,132000
0216アンフィル・佐藤2枚_Part2.pdf,8,,,80BLACK,L,18,8800,158400
0216アンフィル・佐藤2枚_Part2.pdf,9,,,80BLACK,XL,8,8800,70400
0216アンフィル・佐藤2枚_Part2.pdf,10,SD26S-JK06（WS）納品前分,Cotton Twill Denim Jacket,21KHAKI,M,1,8800,8800
0216アンフィル・佐藤2枚_Part2.pdf,11,,,70PINK,XL,1,8800,8800
0216アンフィル・佐藤2枚_Part2.pdf,12,,,80BLACK,L,1,8800,8800
0218アダストリア岡部@8600.pdf,1,HA700001AA,N/Classic-Shirts,柄,1,15,8600,129000
0218アダストリア岡部@8600.pdf,2,HA700001AA,N/Classic-Shirts,柄,2,16,8600,137600
0218アダストリア岡部@8600.pdf,3,HA700001AA,N/Classic-Shirts,BLK,1,22,8600,189200
0218アダストリア岡部@8600.pdf,4,HA700001AA,N/Classic-Shirts,BLK,2,21,8600,180600
0218アダストリア岡部@8600.pdf,5,HA700001AA,N/Classic-Shirts,ストライプ,1,17,8600,146200
0218アダストリア岡部@8600.pdf,6,HA700001AA,N/Classic-Shirts,ストライプ,2,16,8600,137600
0218アダストリア岡部@6100.pdf,1,HA700002AA,W/Lapel-Shirts,BLK,1,35,6100,213500
0218アダストリア岡部@6100.pdf,2,HA700002AA,W/Lapel-Shirts,BLK,2,19,6100,115900
0218アダストリア岡部@6100.pdf,3,HA700002AA,W/Lapel-Shirts,GRY5,1,24,6100,146400
0218アダストリア岡部@6100.pdf,4,HA700002AA,W/Lapel-Shirts,GRY5,2,19,6100,115900
0220アダストリア返品_岡部原田.pdf,1,JS051120AA,(部門5/クラス54/アイテム606227),09,03,-1,2700,-2700
0220アダストリア返品_岡部原田.pdf,2,JS051147AA,(部門5/クラス54/アイテム647643),86,02,-1,2700,-2700
0220アダストリア返品_岡部原田.pdf,3,JS051120AA,(部門5/クラス54/アイテム606227),09,02,-2,2700,-5400
0220アダストリア返品_岡部原田.pdf,4,JS051147AA,(部門5/クラス54/アイテム647643),86,03,-1,2700,-2700
0220アダストリア返品_岡部原田.pdf,5,JS051147AA,(部門5/クラス54/アイテム647643),82,02,-1,2700,-2700
0220アダストリア返品_岡部原田.pdf,6,JS051120AA,(部門5/クラス54/アイテム606227),83,03,-1,2700,-2700
0220アダストリア返品_岡部原田.pdf,7,JS051120AA,(部門5/クラス54/アイテム606227),83,02,-1,2700,-2700
0220アダストリア返品_岡部原田.pdf,8,LF800050AA,(部門80/クラス21/アイテム635570),09,04,-1,3100,-3100
0220アダストリア岡部@7150.pdf,1,MY100464AA,CLASSICAL OP,BLK,M,22,7150,157300
0220アダストリア岡部@7150.pdf,2,MY100464AA,CLASSICAL OP,BLK,L,13,7150,92950
0220アダストリア岡部2@7150.pdf,1,MY100464AA,CLASSICAL OP,BLK,M,7,7150,50050
0220アダストリア岡部2@7150.pdf,2,MY100464AA,CLASSICAL OP,BLK,L,28,7150,200200
0227アダストリアHARE_岡部.pdf,1,,アノラックパーカーサンプル,,,1,40000,40000
0227アダストリアHARE_岡部.pdf,2,,イージーパンツサンプル,,,1,23000,23000
0227アダストリアHARE_岡部.pdf,3,,パフスリーブブラウスサンプル,,,1,37000,37000
0227アダストリアHARE_岡部.pdf,4,,パワショルシャツサンプル,,,1,38000,38000
0227アダストリアHARE_岡部.pdf,5,,ワイドパンツサンプル,,,1,37000,37000
0227アダストリアHARE_岡部.pdf,6,MY100464AA納前,,,,2,7150,14300
